created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls,like
2021-03-03 19:12:28,1367191159576145922,@Jonh_Evachiu Te esperamooooos en nuestra familia crack!! #NecesitasTuenti ❤️,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
2021-03-03 18:56:37,1367187169950003206,"@RubnMen65482406 #Despréndete de todos esos contratos aburridos y esas telefonías que no acumulan tus megas 🙅, en T… https://t.co/lYYfcISUaI",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/lYYfcISUaI', 'expanded_url': 'https://twitter.com/i/web/status/1367187169950003206', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0
2021-03-03 18:46:26,1367184607737745412,@Jonh_Evachiu Holaaa Jonathan! Puedes verificar nuestra cobertura desde este link: https://t.co/Q5GvZrlWGT Pásateee… https://t.co/GFmzRY19yz,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/Q5GvZrlWGT', 'expanded_url': 'https://www.tuenti.ec/mapa-de-cobertura-tuenti', 'display_url': 'tuenti.ec/mapa-de-cobert…', 'indices': [83, 106]}, {'url': 'https://t.co/GFmzRY19yz', 'expanded_url': 'https://twitter.com/i/web/status/1367184607737745412', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0
2021-03-03 18:46:15,1367184564804870145,"@u2m73 Despréndete de todos esos contratos aburridos y esas telefonías que no acumulan tus megas🚫, en Tuenti tienes… https://t.co/8ZZj9BlKeg",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/8ZZj9BlKeg', 'expanded_url': 'https://twitter.com/i/web/status/1367184564804870145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",1
2021-03-03 18:44:05,1367184017855021064,@NachistaRojo 😎 Es hora de dejar atrás la letra pequeña 🚫 acá podrás iniciar el cambio que has estado esperando… https://t.co/l1T724hMSy,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/l1T724hMSy', 'expanded_url': 'https://twitter.com/i/web/status/1367184017855021064', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]",0
2021-03-03 18:30:34,1367180615704055818,@eddie_ga2010 Con gusto verificamos tu línea y tu recarga por DM 🤓,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
2021-03-03 18:30:24,1367180572980895745,@eddie_ga2010 Mándanos un DM para acolitarte de una 🤓,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
2021-03-03 18:29:44,1367180404332052480,"@_geminis3  Heeey gracias por la sugerencia, se la pasaremos de una al conejo Tuenti  🐰",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
2021-03-03 18:29:03,1367180235720904707,"@deltavision1 ¿Qué dice? 👋😎
¿Cómo te ayudamos?",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
2021-03-03 18:27:13,1367179772569214979,"@RolandoPilatas1  Olvídate y despréndete de una de esas telefonías que no te dan más, pásate a Tuenti y comienza a… https://t.co/p5GlOSNegf",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/p5GlOSNegf', 'expanded_url': 'https://twitter.com/i/web/status/1367179772569214979', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0
2021-03-03 18:26:03,1367179477957156866,"@JuanAndresPeaT1 Heeeey Juan, también puedes recargar por nuestra página Web: https://t.co/5rACEEdcPl o marcando el… https://t.co/rNX6nDPMD4",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/5rACEEdcPl', 'expanded_url': 'https://www.tuenti.ec/recarga-online', 'display_url': 'tuenti.ec/recarga-online', 'indices': [78, 101]}, {'url': 'https://t.co/rNX6nDPMD4', 'expanded_url': 'https://twitter.com/i/web/status/1367179477957156866', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0
2021-03-03 18:15:42,1367176873223012356,@MateoSornoza Heeey es tiempo de desprenderte de las telefonías que se llevan tus GB al más allá 👻 Pásate de una a… https://t.co/GrRBM3U2JW,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/GrRBM3U2JW', 'expanded_url': 'https://twitter.com/i/web/status/1367176873223012356', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0
2021-03-03 18:11:51,1367175904972185603,"@EnriqueCSE90 Mil disculpas por el problema de la cobertura en tu zona, estamos trabajando día y noche para llegar… https://t.co/D85QNDsaEx",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/D85QNDsaEx', 'expanded_url': 'https://twitter.com/i/web/status/1367175904972185603', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0
2021-03-03 18:05:00,1367174183151677442,@alvaypau Que bacaaan que disfrutes de Tuenti por eso no paramos de mejorar y de ley estamos trabajando en ampliar… https://t.co/6QcnHiN4Hw,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,"[{'url': 'https://t.co/6QcnHiN4Hw', 'expanded_url': 'https://twitter.com/i/web/status/1367174183151677442', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0
2021-03-03 18:03:20,1367173762924367872,"@yaret2576 Heeey Luna, puedes escribirnos un DM para verificar tu línea de una!! 😉✨",TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],1
2021-03-03 18:02:10,1367173468509372416,@AleVillaoficial Heeeey mándanos un DM de una para brindarte la info necesaria 🤓,TuentiEC,tuentiEC,Wed Apr 22 23:28:13 +0000 2015,[],0
